day_id;event_time;event_id;event_type;user_id;worker_id;profile;routine;resource;planned_order;assistance;cardio_planned;cable_planned;speed_m_per_min;origin;destination;duration_min;wait_min;outcome;water_liters;towel_count;stock_after;dissatisfaction
D001;16,511;24;exercise;U-0003;;standard;pull;seated_row;2,0;False;;;;29;29;7,602;0,0;completed;0,24;;0,64;
D001;16,683;25;visit;U-0008;;standard;legs;gym;;;False;False;77,73;;1;47,76;19,8;completed;;;21,0;0,1
D001;16,876;26;registration;U-0008;R-02;standard;;R-02;;;;;;;7;1,78;0,0;completed;;2,0;;
D001;17,521;27;exercise;U-0006;;express;pull;biceps_curl;2,0;False;;;;11;11;3,295;0,0;completed;0,213;;0,41;
D001;17,996;28;exercise;U-0007;;standard;push;chest_press;1,0;False;;;;42;42;5,325;0,0;completed;0,291;;0,9;
D001;19,384;29;visit;U-0009;;intense;upper;gym;;;False;True;73,91;;1;78,27;15,85;completed;;;25,0;0,05
D001;19,512;30;supply_pickup;U-0001;;flexible;;towels;;;;;;;44;0,75;;completed;;2,0;98,0;
D001;19,587;31;registration;U-0009;R-01;intense;;R-01;;;;;;;7;3,5;0,0;completed;;2,0;;
D001;20,339;32;assistance;U-0001;PT-01;flexible;;lat_pulldown-01;;;;;;;36;;0,14;arrived;;;;
D001;20,339;33;worker_travel;;PT-01;;;trainers;;;;;84,62;25;36;0,135;;completed;;;;
D001;20,474;34;exercise;U-0001;;flexible;full_body;lat_pulldown;3,0;True;;;;36;36;6,648;0,0;completed;0,31;;0,43;
D001;20,496;35;supply_pickup;U-0006;;express;;towels;;;;;;;44;0,75;;completed;;2,0;96,0;
D001;21,581;36;visit;U-0010;;intense;legs;gym;;;False;False;53,93;;1;38,17;2,36;completed;;;21,0;0,01
D001;21,859;37;registration;U-0010;R-02;intense;;R-02;;;;;;;7;3,75;0,0;completed;;2,0;;
D001;22,19;38;exercise;U-0006;;express;pull;seated_row;3,0;False;;;;29;29;4,133;0,86;completed;0,298;;0,01;
D001;22,275;39;supply_pickup;U-0003;;standard;;towels;;;;;;;44;0,75;;completed;;2,0;94,0;
D001;23,025;40;supply_pickup;U-0002;;standard;;towels;;;;;;;44;0,75;;completed;;2,0;92,0;
D001;23,165;41;exercise;U-0003;;standard;pull;biceps_curl;3,0;False;;;;33;33;6,051;0,0;completed;0,283;;0,34;
D001;23,296;42;exercise;U-0005;;intense;legs;leg_curl;2,0;False;;;;31;31;9,007;0,0;completed;0,524;;0,2;
D001;23,352;43;exercise;U-0009;;intense;upper;chest_press;1,0;False;;;;47;47;12,134;0,0;completed;0,572;;1,19;
D001;23,704;44;assistance;U-0007;PT-02;standard;;shoulder_press-01;;;;;;;49;;0,17;arrived;;;;
D001;23,704;45;worker_travel;;PT-02;;;trainers;;;;;80,58;25;49;0,17;;completed;;;;
D001;23,874;46;exercise;U-0007;;standard;push;shoulder_press;2,0;True;;;;49;49;7,104;0,0;completed;0,245;;0,59;
D001;24,022;47;exercise;U-0002;;standard;pull;biceps_curl;3,0;False;;;;11;11;3,639;0,0;completed;0,2;;0,57;
D001;25,914;48;exercise;U-0010;;intense;legs;leg_press;1,0;False;;;;32;32;20,735;0,0;completed;0,793;;1,09;
D001;26,471;49;visit;U-0011;;intense;legs;gym;;;False;True;59,49;;1;47,72;4,71;completed;;;24,0;0,01
D001;26,723;50;registration;U-0011;R-01;intense;;R-01;;;;;;;7;1,89;0,0;completed;;2,0;;
D001;26,873;51;exercise;U-0008;;standard;legs;leg_extension;2,0;False;;;;12;12;6,216;0,0;completed;0,183;;0,94;
D001;27,367;52;visit;U-0012;;express;legs;gym;;;False;False;88,65;;1;16,6;10,0;incomplete;;;15,0;0,31
D001;27,536;53;registration;U-0012;R-02;express;;R-02;;;;;;;7;1,75;0,0;completed;;2,0;;
D001;27,876;54;visit;U-0013;;intense;upper;gym;;;False;True;67,17;;1;83,46;18,59;completed;;;27,0;0,05
D001;28,271;55;visit;U-0014;;intense;legs;gym;;;False;False;59,67;;1;55,18;12,06;completed;;;26,0;0,03
D001;28,614;56;registration;U-0013;R-01;intense;;R-01;;;;;;;7;1,52;0,51;completed;;2,0;;
D001;28,734;57;exercise;U-0004;;intense;legs;leg_curl;2,0;False;;;;24;24;10,177;0,0;completed;0,62;;0,76;
D001;28,814;58;exercise;U-0011;;intense;legs;leg_press;1,0;False;;;;26;26;11,03;0,0;completed;0,665;;0,97;
D001;29,283;59;registration;U-0014;R-02;intense;;R-02;;;;;;;7;2,26;0,76;completed;;2,0;;
D001;30,216;60;visit;U-0015;;intense;legs;gym;;;False;False;66,65;;1;64,83;23,23;completed;;;26,0;0,07
D001;30,441;61;registration;U-0015;R-01;intense;;R-01;;;;;;;7;2,67;0,0;completed;;2,0;;
D001;30,483;62;exercise;U-0013;;intense;upper;shoulder_press;1,0;False;;;;45;45;9,815;0,0;completed;0,543;;1,04;
D001;32,809;63;visit;U-0016;;flexible;full_body;gym;;;False;False;76,97;;1;30,09;0,11;completed;;;20,0;0,0
D001;32,946;64;supply_pickup;U-0007;;standard;;towels;;;;;;;44;0,75;;completed;;2,0;90,0;
D001;33,003;65;registration;U-0016;R-02;flexible;;R-02;;;;;;;7;1,43;0,0;completed;;2,0;;
D001;33,757;66;exercise;U-0007;;standard;push;chest_fly;3,0;False;;;;46;46;7,998;0,0;completed;0,108;;0,27;
D001;34,169;67;exercise;U-0001;;flexible;full_body;leg_press;1,0;False;;;;;32;;7,0;pending;;;;
D001;34,417;68;exercise;U-0012;;express;legs;leg_press;1,0;True;;;;;;;;omitted;;;;
D001;34,474;69;exercise;U-0012;;express;legs;leg_extension;2,0;False;;;;12;12;3,586;0,0;completed;0,393;;0,53;
D001;34,594;70;exercise;U-0016;;flexible;full_body;leg_extension;4,0;False;;;;10;10;6,378;0,0;completed;0,426;;1,02;
D001;34,882;71;visit;U-0017;;intense;pull;gym;;;False;True;61,5;;1;39,81;0,0;completed;;;23,0;0,0
D001;35,126;72;registration;U-0017;R-01;intense;;R-01;;;;;;;7;2,85;0,0;completed;;2,0;;
D001;35,59;73;exercise;U-0009;;intense;upper;shoulder_press;2,0;False;;;;49;49;11,691;0,0;completed;0,282;;0,55;
D001;35,786;74;visit;U-0018;;intense;pull;gym;;;False;True;63,06;;1;53,67;5,15;completed;;;25,0;0,01
D001;36,024;75;registration;U-0018;R-02;intense;;R-02;;;;;;;7;3,02;0,0;completed;;2,0;;
D001;38,094;76;cardio;U-0007;;standard;push;treadmill;;;True;;;35;35;26,763;0,0;completed;;;;
D001;38,289;77;exercise;U-0017;;intense;pull;seated_row;1,0;False;;;;15;15;12,307;0,0;completed;0,377;;1,13;
D001;38,595;78;exercise;U-0008;;standard;legs;leg_curl;3,0;False;;;;24;24;9,346;5,1;completed;0,44;;0,63;
D001;38,75;79;supply_pickup;U-0004;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;88,0;
D001;39,164;80;assistance;U-0016;PT-01;flexible;;leg_press-02;;;;;;;32;;0,11;arrived;;;;
D001;39,164;81;worker_travel;;PT-01;;;trainers;;;;;84,62;36;32;0,111;;completed;;;;
D001;39,275;82;exercise;U-0016;;flexible;full_body;leg_press;1,0;True;;;;32;32;15,33;0,0;completed;0,609;;0,5;
D001;39,419;83;assistance;U-0018;PT-02;intense;;seated_row-02;;;;;;;29;;0,23;arrived;;;;
D001;39,419;84;worker_travel;;PT-02;;;trainers;;;;;80,58;49;29;0,233;;completed;;;;
D001;39,652;85;exercise;U-0018;;intense;pull;seated_row;1,0;True;;;;29;29;11,801;0,0;completed;0,535;;0,75;
D001;39,736;86;exercise;U-0004;;intense;legs;leg_extension;3,0;False;;;;10;10;8,745;0,0;completed;0,393;;0,41;
D001;39,983;87;visit;U-0019;;express;push;gym;;;False;False;91,65;;1;17,32;6,61;incomplete;;;20,0;0,17
D001;40,147;88;registration;U-0019;R-01;express;;R-01;;;;;;;7;0,9;0,0;completed;;2,0;;
D001;40,154;89;exercise;U-0010;;intense;legs;leg_curl;2,0;False;;;;31;31;13,006;2,36;completed;0,932;;0,78;
D001;40,267;90;supply_pickup;U-0005;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;86,0;
D001;41,227;91;exercise;U-0019;;express;push;chest_press;1,0;False;;;;42;42;3,412;0,0;completed;0,183;;0,72;
D001;41,315;92;exercise;U-0005;;intense;legs;leg_extension;3,0;False;;;;12;12;4,771;0,0;completed;0,49;;0,0;
D001;43,037;93;exercise;U-0014;;intense;legs;leg_press;1,0;False;;;;26;26;11,666;11,3;completed;0,49;;0,92;
D001;43,667;94;exercise;U-0012;;express;legs;leg_curl;3,0;False;;;;;;;;omitted;;;;
D001;43,939;95;visit;U-0020;;intense;full_body;gym;;;False;False;59,13;;1;76,52;20,55;completed;;;26,0;0,06
D001;44,192;96;registration;U-0020;R-02;intense;;R-02;;;;;;;7;5,61;0,0;completed;;2,0;;
D001;44,591;97;visit;U-0021;;flexible;full_body;gym;;;True;False;63,49;;1;49,46;2,32;completed;;;26,0;0,02
D001;44,827;98;registration;U-0021;R-01;flexible;;R-01;;;;;;;7;1,57;0,0;completed;;2,0;;
D001;45,857;99;exercise;U-0013;;intense;upper;chest_fly;2,0;False;;;;46;46;10,858;0,0;completed;0,389;;0,67;
D001;46,089;100;supply_pickup;U-0016;;flexible;;towels;;;;;;;44;0,75;;completed;;2,0;84,0;
D001;46,582;101;exercise;U-0018;;intense;pull;lat_pulldown;2,0;False;;;;22;22;12,318;0,0;completed;0,195;;0,32;
D001;46,659;102;exercise;U-0021;;flexible;full_body;leg_press;1,0;False;;;;32;32;8,86;0,0;completed;0,17;;0,97;
D001;46,871;103;exercise;U-0016;;flexible;full_body;shoulder_press;2,0;False;;;;45;45;8,77;0,0;completed;0,212;;0,16;
D001;47,734;104;exercise;U-0011;;intense;legs;leg_curl;2,0;False;;;;24;24;6,764;4,61;completed;0,66;;0,0;
D001;47,795;105;exercise;U-0017;;intense;pull;lat_pulldown;2,0;False;;;;36;36;12,867;0,0;completed;0,278;;0,56;
D001;47,855;106;supply_pickup;U-0008;;standard;;towels;;;;;;;44;0,75;;completed;;2,0;82,0;
D001;49,485;107;visit;U-0022;;intense;upper;gym;;;False;False;62,13;;1;65,33;5,72;completed;;;28,0;0,02
D001;49,726;108;registration;U-0022;R-01;intense;;R-01;;;;;;;7;2,03;0,0;completed;;2,0;;
D001;51,013;109;exercise;U-0019;;express;push;chest_fly;2,0;False;;;;;;;;omitted;;;;
D001;51,159;110;visit;U-0023;;intense;pull;gym;;;True;False;58,34;;1;88,23;22,73;completed;;;20,0;0,07
D001;51,416;111;registration;U-0023;R-02;intense;;R-02;;;;;;;7;2,88;0,0;completed;;2,0;;
D001;51,755;112;supply_pickup;U-0010;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;80,0;
D001;52,072;113;exercise;U-0022;;intense;upper;shoulder_press;1,0;False;;;;49;49;15,921;0,0;completed;0,316;;1,34;
D001;52,505;114;supply_pickup;U-0009;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;78,0;
D001;52,648;115;exercise;U-0019;;express;push;shoulder_press;3,0;False;;;;45;45;3,871;1,61;completed;0,358;;0,18;
D001;52,767;116;exercise;U-0016;;flexible;full_body;seated_row;3,0;False;;;;29;29;7,594;0,0;completed;0,118;;0,0;
D001;52,771;117;exercise;U-0010;;intense;legs;leg_extension;3,0;False;;;;10;10;11,483;0,0;completed;0,494;;0,01;
D001;52,998;118;visit;U-0024;;intense;upper;gym;;;False;False;69,62;;1;70,79;26,88;completed;;;22,0;0,08
D001;53,213;119;registration;U-0024;R-01;intense;;R-01;;;;;;;7;1,46;0,0;completed;;2,0;;
D001;53,272;120;supply_pickup;U-0005;;intense;;water;;;;;;;48;0,75;;completed;1,5;;18,5;
D001;53,416;121;exercise;U-0009;;intense;upper;seated_row;3,0;False;;;;15;15;15,944;0,0;completed;0,2;;0,14;
D001;53,811;122;supply_pickup;U-0013;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;76,0;
D001;54,225;123;exercise;U-0005;;intense;legs;cable;4,0;False;;;;43;43;11,631;0,0;completed;0,576;;1,2;
D001;54,629;124;exercise;U-0013;;intense;upper;lat_pulldown;3,0;False;;;;36;36;11,125;0,0;completed;0,426;;0,27;
D001;54,685;125;supply_pickup;U-0017;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;74,0;
D001;55,048;126;visit;U-0025;;intense;upper;gym;;;False;False;56,07;;1;56,83;11,0;completed;;;27,0;0,03
D001;55,316;127;registration;U-0025;R-02;intense;;R-02;;;;;;;7;3,1;0,0;completed;;2,0;;
D001;55,42;128;exercise;U-0008;;standard;legs;leg_press;1,0;False;;;;32;32;9,901;6,7;completed;0,381;;0,05;
D001;55,447;129;supply_pickup;U-0018;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;72,0;
D001;55,499;130;exercise;U-0021;;flexible;full_body;chest_fly;4,0;False;;;;46;46;3,659;0,0;completed;0,218;;0,68;
D001;55,621;131;exercise;U-0017;;intense;pull;biceps_curl;3,0;False;;;;33;33;8,842;0,0;completed;0,545;;0,02;
D001;56,249;132;visit;U-0026;;standard;full_body;gym;;;False;False;65,02;;1;40,39;6,13;completed;;;26,0;0,03
D001;56,455;133;exercise;U-0018;;intense;pull;biceps_curl;3,0;False;;;;11;11;8,936;0,0;completed;0,323;;0,0;
D001;56,48;134;registration;U-0026;R-01;standard;;R-01;;;;;;;7;1,3;0,0;completed;;2,0;;
D001;56,521;135;exercise;U-0015;;intense;legs;leg_press;1,0;False;;;;26;26;18,882;23,23;completed;0,712;;0,96;
D001;56,637;136;exercise;U-0014;;intense;legs;leg_curl;2,0;False;;;;31;31;16,129;0,0;completed;0,799;;0,37;
D001;57,14;137;visit;U-0027;;standard;push;gym;;;False;False;67,72;;1;44,97;26,14;incomplete;;;25,0;0,28
D001;57,311;138;visit;U-0028;;intense;legs;gym;;;False;False;69,39;;1;59,26;17,24;completed;;;27,0;0,05
D001;57,493;139;visit;U-0029;;standard;pull;gym;;;True;True;66,07;;1;61,87;13,44;completed;;;26,0;0,07
D001;57,678;140;exercise;U-0020;;intense;full_body;leg_curl;1,0;False;;;;24;24;9,616;7,6;completed;0,305;;1,04;
D001;57,778;141;registration;U-0027;R-01;standard;;R-01;;;;;;;7;1,81;0,42;completed;;2,0;;
D001;57,893;142;exercise;U-0026;;standard;full_body;leg_extension;1,0;False;;;;12;12;5,363;0,0;completed;0,301;;0,84;
D001;57,908;143;supply_pickup;U-0011;;intense;;water;;;;;;;48;0,75;;completed;1,5;;17,0;
D001;58,415;144;registration;U-0028;R-02;intense;;R-02;;;;;;;7;2,61;0,89;completed;;2,0;;
D001;58,826;145;supply_pickup;U-0011;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;70,0;
D001;58,832;146;exercise;U-0025;;intense;upper;shoulder_press;1,0;False;;;;45;45;12,206;0,0;completed;0,599;;1,09;
D001;59,588;147;registration;U-0029;R-01;standard;;R-01;;;;;;;7;2,39;1,87;completed;;2,0;;
D001;59,817;148;exercise;U-0011;;intense;legs;leg_extension;3,0;False;;;;10;10;9,412;0,0;completed;0,393;;1,02;
D001;59,837;149;exercise;U-0027;;standard;push;chest_press;1,0;False;;;;42;42;5,905;0,0;completed;0,183;;1,02;
D001;61,259;150;supply_pickup;U-0021;;flexible;;towels;;;;;;;44;0,75;;completed;;2,0;68,0;
D001;61,79;151;supply_pickup;U-0016;;flexible;;water;;;;;;;48;0,75;;completed;1,25;;15,75;
D001;62,156;152;exercise;U-0021;;flexible;full_body;lat_pulldown;3,0;False;;;;22;22;9,98;0,0;completed;0,176;;0,45;
D001;62,395;153;exercise;U-0023;;intense;pull;seated_row;1,0;False;;;;15;15;13,45;7,77;completed;0,442;;1,2;
D001;63,008;154;visit;U-0030;;flexible;upper;gym;;;True;False;70,47;;1;35,25;7,0;incomplete;;;24,0;0,24
D001;63,008;155;cardio;U-0030;;flexible;upper;treadmill;;;True;;;;;;;not_completed;;;;
D001;63,221;156;registration;U-0030;R-02;flexible;;R-02;;;;;;;7;1,34;0,0;completed;;2,0;;
D001;63,412;157;exercise;U-0024;;intense;upper;shoulder_press;1,0;False;;;;49;49;14,037;8,46;completed;0,252;;1,05;
D001;63,532;158;exercise;U-0022;;intense;upper;chest_fly;2,0;False;;;;46;46;7,117;0,0;completed;0,299;;0,92;
D001;63,642;159;cardio;U-0005;;intense;legs;treadmill;;;True;;;28;28;34,976;0,0;completed;;;;
D001;63,98;160;exercise;U-0017;;intense;pull;cable;4,0;False;;;;43;43;9,362;0,0;completed;0,43;;0,0;
D001;64,127;161;visit;U-0031;;standard;upper;gym;;;True;False;70,17;;1;61,48;29,77;incomplete;;;21,0;0,36
D001;64,127;162;cardio;U-0031;;standard;upper;treadmill;;;True;;;;;;;not_completed;;;;
D001;64,341;163;registration;U-0031;R-01;standard;;R-01;;;;;;;7;1,67;0,0;completed;;2,0;;
D001;64,667;164;assistance;U-0013;PT-01;intense;;seated_row-02;;;;;;;29;;0,09;arrived;;;;
D001;64,667;165;worker_travel;;PT-01;;;trainers;;;;;84,62;32;29;0,089;;completed;;;;
D001;64,755;166;exercise;U-0013;;intense;upper;seated_row;4,0;True;;;;29;29;12,142;0,0;completed;0,575;;0,0;
D001;64,767;167;exercise;U-0030;;flexible;upper;biceps_curl;4,0;False;;;;33;33;3,673;0,0;completed;0,26;;1,05;
D001;66,043;168;assistance;U-0011;PT-02;intense;;cable-01;;;;;;;8;;0,09;arrived;;;;
D001;66,043;169;worker_travel;;PT-02;;;trainers;;;;;80,58;29;8;0,093;;completed;;;;
D001;66,099;170;exercise;U-0026;;standard;full_body;chest_press;2,0;False;;;;47;47;8,616;0,0;completed;0,462;;0,72;
D001;66,136;171;exercise;U-0011;;intense;legs;cable;4,0;True;;;;8;8;10,829;0,0;completed;0,332;;0,7;
D001;66,428;172;visit;U-0032;;flexible;push;gym;;;True;False;80,53;;1;49,89;4,98;completed;;;27,0;0,04
D001;66,615;173;registration;U-0032;R-02;flexible;;R-02;;;;;;;7;1,5;0,0;completed;;2,0;;
D001;67,172;174;exercise;U-0009;;intense;upper;biceps_curl;4,0;False;;;;11;11;10,409;4,65;completed;0,266;;0,0;
D001;67,199;175;visit;U-0033;;express;push;gym;;;False;False;88,96;;1;16,83;15,0;incomplete;;;25,0;0,46
D001;67,368;176;registration;U-0033;R-01;express;;R-01;;;;;;;7;0,97;0,0;completed;;2,0;;
D001;67,431;177;supply_pickup;U-0018;;intense;;water;;;;;;;48;0,75;;completed;1,5;;14,25;
D001;67,854;178;exercise;U-0029;;standard;pull;lat_pulldown;1,0;False;;;;22;22;9,056;5,56;completed;0,313;;0,96;
D001;68,051;179;visit;U-0034;;intense;push;gym;;;False;False;58,24;;1;52,81;15,23;completed;;;25,0;0,04
D001;68,309;180;registration;U-0034;R-02;intense;;R-02;;;;;;;7;1,68;0,0;completed;;2,0;;
D001;68,328;181;exercise;U-0032;;flexible;push;chest_press;1,0;False;;;;42;42;7,124;0,0;completed;0,209;;0,84;
D001;69,147;182;supply_pickup;U-0014;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;66,0;
D001;70,138;183;exercise;U-0014;;intense;legs;leg_extension;3,0;False;;;;10;10;13,234;0,0;completed;0,388;;0,0;
D001;70,355;184;exercise;U-0021;;flexible;full_body;shoulder_press;2,0;False;;;;45;45;6,782;2,32;completed;0,383;;0,3;
D001;72,362;185;visit;U-0035;;intense;upper;gym;;;False;False;52,01;;1;74,92;25,48;completed;;;19,0;0,07
D001;72,371;186;exercise;U-0028;;intense;legs;leg_press;1,0;False;;;;26;26;18,379;11,17;completed;0,421;;1,13;
D001;72,446;187;exercise;U-0015;;intense;legs;leg_curl;2,0;False;;;;24;24;13,359;0,0;completed;0,564;;0,47;
D001;72,651;188;registration;U-0035;R-01;intense;;R-01;;;;;;;7;1,77;0,0;completed;;2,0;;
D001;72,969;189;visit;U-0036;;intense;push;gym;;;False;False;64,53;;1;60,01;31,38;completed;;;22,0;0,09
D001;73,201;190;registration;U-0036;R-02;intense;;R-02;;;;;;;7;3,5;0,0;completed;;2,0;;
D001;73,293;191;exercise;U-0018;;intense;pull;cable;4,0;False;;;;43;43;6,834;4,91;completed;0,329;;1,11;
D001;73,496;192;supply_pickup;U-0017;;intense;;water;;;;;;;48;0,75;;completed;1,5;;12,75;
D001;73,523;193;exercise;U-0033;;express;push;chest_press;1,0;False;;;;;;;;omitted;;;;
D001;74,148;194;visit;U-0037;;flexible;push;gym;;;False;True;73,25;;1;40,07;7,57;incomplete;;;28,0;0,15
D001;74,423;195;registration;U-0037;R-01;flexible;;R-01;;;;;;;7;0,71;0,07;completed;;2,0;;
D001;75,372;196;exercise;U-0037;;flexible;push;cable;4,0;False;;;;8;8;8,641;0,0;completed;0,215;;0,98;
D001;75,76;197;exercise;U-0020;;intense;full_body;chest_press;2,0;False;;;;47;47;10,81;5,13;completed;0,259;;0,64;
D001;75,876;198;supply_pickup;U-0026;;standard;;towels;;;;;;;44;0,75;;completed;;2,0;64,0;
D001;75,984;199;supply_pickup;U-0009;;intense;;water;;;;;;;48;0,75;;completed;1,5;;11,25;
D001;76,696;200;exercise;U-0026;;standard;full_body;lat_pulldown;3,0;False;;;;36;36;5,721;0,0;completed;0,335;;0,45;
D001;76,745;201;cardio;U-0021;;flexible;full_body;treadmill;;;True;;;35;35;14,374;0,0;completed;;;;
D001;76,817;202;visit;U-0038;;flexible;legs;gym;;;True;False;58,04;;1;44,27;1,51;completed;;;24,0;0,01
D001;76,869;203;supply_pickup;U-0009;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;62,0;
D001;77,076;204;registration;U-0038;R-01;flexible;;R-01;;;;;;;7;1,25;0,0;completed;;2,0;;
D001;77,123;205;exercise;U-0030;;flexible;upper;shoulder_press;1,0;False;;;;45;45;11,544;0,0;completed;0,083;;0,71;
D001;77,15;206;exercise;U-0031;;standard;upper;seated_row;2,0;False;;;;29;29;8,16;2,6;completed;0,279;;0,93;
D001;77,259;207;exercise;U-0025;;intense;upper;chest_fly;2,0;False;;;;46;46;8,2;6,86;completed;0,263;;0,81;
D001;77,392;208;supply_pickup;U-0013;;intense;;water;;;;;;;48;0,75;;completed;1,5;;9,75;
D001;77,619;209;supply_pickup;U-0022;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;60,0;
D001;77,625;210;exercise;U-0034;;intense;push;chest_press;1,0;False;;;;42;42;14,663;7,35;completed;0,324;;0,81;
D001;77,656;211;exercise;U-0032;;flexible;push;shoulder_press;2,0;False;;;;49;49;13,606;0,0;completed;0,21;;0,68;
D001;78,369;212;supply_pickup;U-0013;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;58,0;
D001;78,417;213;visit;U-0039;;express;push;gym;;;False;False;90,96;;1;19,27;12,79;incomplete;;;24,0;0,34
D001;78,452;214;exercise;U-0038;;flexible;legs;leg_extension;2,0;False;;;;12;12;6,311;0,0;completed;0,407;;0,81;
D001;78,52;215;exercise;U-0022;;intense;upper;lat_pulldown;3,0;False;;;;22;22;15,676;0,0;completed;0,471;;0,34;
D001;78,582;216;registration;U-0039;R-02;express;;R-02;;;;;;;7;1,1;0,0;completed;;2,0;;
D001;78,628;217;exercise;U-0033;;express;push;chest_fly;2,0;False;;;;;;;;omitted;;;;
D001;79,573;218;exercise;U-0029;;standard;pull;seated_row;2,0;False;;;;15;15;6,078;6,02;completed;0,288;;0,74;
D001;81,434;219;supply_pickup;U-0015;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;56,0;
D001;82,199;220;visit;U-0040;;standard;legs;gym;;;False;False;70,34;;1;26,8;0,87;completed;;;27,0;0,0
D001;82,236;221;supply_pickup;U-0014;;intense;;water;;;;;;;48;0,75;;completed;1,5;;8,25;
D001;82,399;222;exercise;U-0015;;intense;legs;leg_extension;3,0;False;;;;10;10;8,064;0,0;completed;0,608;;0,0;
D001;82,412;223;registration;U-0040;R-01;standard;;R-01;;;;;;;7;1,29;0,0;completed;;2,0;;
D001;82,811;224;exercise;U-0038;;flexible;legs;leg_curl;3,0;False;;;;24;24;4,243;0,0;completed;0,42;;0,39;
D001;83,001;225;visit;U-0041;;intense;full_body;gym;;;False;True;60,25;;1;81,95;14,43;completed;;;20,0;0,05
D001;83,25;226;registration;U-0041;R-02;intense;;R-02;;;;;;;7;1,52;0,0;completed;;2,0;;
D001;83,656;227;exercise;U-0033;;express;push;shoulder_press;3,0;False;;;;;;;;omitted;;;;
D001;83,94;228;exercise;U-0040;;standard;legs;leg_press;1,0;False;;;;32;32;13,964;0,0;completed;0,364;;1,04;
D001;84,454;229;exercise;U-0024;;intense;upper;chest_fly;2,0;False;;;;46;46;8,244;8,18;completed;0,361;;0,48;
D001;84,544;230;supply_pickup;U-0025;;intense;;towels;;;;;;;44;0,75;;completed;;2,0;54,0;
