repair_id;historical_day;failure_time;unit_id;machine_type;cell;repair_duration_min
REP-00047;H006;642,842;seated_row-02;seated_row;29;24,015
REP-00048;H007;250,89;chest_fly-01;chest_fly;46;10,06
REP-00049;H007;452,218;chest_fly-01;chest_fly;46;18,324
REP-00050;H007;775,618;chest_press-02;chest_press;47;18,801
REP-00051;H007;797,019;shoulder_press-01;shoulder_press;49;25,423
REP-00052;H008;221,28;shoulder_press-01;shoulder_press;49;19,151
REP-00053;H008;460,343;leg_press-01;leg_press;26;42,288
REP-00054;H008;562,293;leg_extension-01;leg_extension;12;37,473
REP-00055;H009;54,182;biceps_curl-01;biceps_curl;11;34,056
REP-00056;H009;61,143;shoulder_press-01;shoulder_press;49;18,377
REP-00057;H009;177,993;leg_extension-02;leg_extension;10;26,956
REP-00058;H009;258,417;lat_pulldown-01;lat_pulldown;36;21,47
REP-00059;H009;497,06;shoulder_press-01;shoulder_press;49;11,112
REP-00060;H009;574,743;cable-02;cable;43;23,566
REP-00061;H009;647,222;chest_fly-01;chest_fly;46;10,2
REP-00062;H009;689,631;chest_fly-01;chest_fly;46;12,971
REP-00063;H009;750,051;leg_press-01;leg_press;26;16,472
REP-00064;H009;752,257;lat_pulldown-02;lat_pulldown;22;39,729
REP-00065;H010;56,733;chest_press-01;chest_press;42;36,095
REP-00066;H010;332,772;leg_extension-01;leg_extension;12;41,831
REP-00067;H010;447,464;shoulder_press-02;shoulder_press;45;23,214
REP-00068;H010;469,648;biceps_curl-02;biceps_curl;33;22,676
REP-00069;H010;563,734;leg_press-02;leg_press;32;35,296
REP-00070;H010;761,667;leg_curl-01;leg_curl;31;50,907
REP-00071;H010;766,675;leg_extension-01;leg_extension;12;36,894
REP-00072;H010;779,281;leg_extension-02;leg_extension;10;18,702
REP-00073;H011;399,513;leg_curl-01;leg_curl;31;24,633
REP-00074;H011;718,579;lat_pulldown-01;lat_pulldown;36;15,333
REP-00075;H011;839,7;lat_pulldown-01;lat_pulldown;36;17,358
REP-00076;H011;867,654;biceps_curl-01;biceps_curl;11;17,684
REP-00077;H012;303,297;chest_press-02;chest_press;47;13,37
REP-00078;H012;409,406;chest_fly-01;chest_fly;46;12,036
REP-00079;H012;421,603;lat_pulldown-02;lat_pulldown;22;25,789
REP-00080;H012;517,213;leg_press-01;leg_press;26;16,835
REP-00081;H012;826,426;chest_fly-01;chest_fly;46;29,241
REP-00082;H013;55,164;leg_press-02;leg_press;32;9,175
REP-00083;H013;125,051;biceps_curl-02;biceps_curl;33;14,659
REP-00084;H013;188,63;leg_press-02;leg_press;32;29,758
REP-00085;H013;259,271;biceps_curl-02;biceps_curl;33;14,195
REP-00086;H013;380,973;cable-02;cable;43;14,93
REP-00087;H013;464,96;shoulder_press-01;shoulder_press;49;30,005
REP-00088;H013;777,145;seated_row-02;seated_row;29;16,34
REP-00089;H013;806,612;shoulder_press-01;shoulder_press;49;15,286
REP-00090;H013;850,356;lat_pulldown-01;lat_pulldown;36;7,166
REP-00091;H014;314,282;leg_curl-02;leg_curl;24;22,801
REP-00092;H014;410,896;lat_pulldown-02;lat_pulldown;22;20,353
REP-00093;H014;639,976;leg_curl-02;leg_curl;24;27,787
REP-00094;H014;805,577;chest_fly-01;chest_fly;46;19,35
REP-00095;H015;165,119;lat_pulldown-01;lat_pulldown;36;29,414
REP-00096;H015;393,012;chest_fly-01;chest_fly;46;16,227
REP-00097;H015;457,308;leg_press-01;leg_press;26;51,166
REP-00098;H015;546,686;seated_row-01;seated_row;15;20,363
REP-00099;H015;685,391;shoulder_press-01;shoulder_press;49;9,698
REP-00100;H016;238,268;cable-01;cable;8;26,627
REP-00101;H016;288,508;chest_press-02;chest_press;47;14,347
REP-00102;H016;390,337;leg_press-01;leg_press;26;47,397
REP-00103;H016;623,356;biceps_curl-02;biceps_curl;33;44,371
REP-00104;H016;633,714;lat_pulldown-01;lat_pulldown;36;21,654
REP-00105;H016;686,326;leg_press-02;leg_press;32;34,954
REP-00106;H016;769,638;leg_curl-02;leg_curl;24;24,183
REP-00107;H016;807,972;lat_pulldown-01;lat_pulldown;36;17,314
REP-00108;H016;827,302;leg_press-02;leg_press;32;33,521
REP-00109;H017;40,259;biceps_curl-02;biceps_curl;33;14,538
REP-00110;H017;162,469;chest_press-02;chest_press;47;39,241
REP-00111;H017;187,897;shoulder_press-02;shoulder_press;45;31,377
REP-00112;H017;432,026;chest_fly-01;chest_fly;46;15,176
REP-00113;H017;626,978;seated_row-01;seated_row;15;40,206
REP-00114;H017;718,783;chest_fly-01;chest_fly;46;16,77
REP-00115;H018;278,798;treadmill-02;treadmill;21;48,858
REP-00116;H018;327,733;chest_fly-01;chest_fly;46;20,612
REP-00117;H018;446,281;chest_press-02;chest_press;47;22,783
REP-00118;H018;577,163;treadmill-02;treadmill;21;39,943
REP-00119;H018;675,051;lat_pulldown-01;lat_pulldown;36;18,946
REP-00120;H018;782,1;cable-02;cable;43;15,288
REP-00121;H018;842,342;leg_press-01;leg_press;26;43,51
REP-00122;H019;208,714;treadmill-03;treadmill;28;48,164
REP-00123;H019;314,301;shoulder_press-01;shoulder_press;49;25,186
REP-00124;H019;327,889;lat_pulldown-02;lat_pulldown;22;18,129
REP-00125;H019;614,025;biceps_curl-02;biceps_curl;33;22,345
REP-00126;H019;647,994;shoulder_press-01;shoulder_press;49;8,936
REP-00127;H020;202,657;biceps_curl-02;biceps_curl;33;9,586
REP-00128;H020;334,048;lat_pulldown-01;lat_pulldown;36;13,606
REP-00129;H020;362,208;lat_pulldown-01;lat_pulldown;36;22,932
REP-00130;H020;470,048;seated_row-01;seated_row;15;20,631
REP-00131;H020;496,077;chest_press-01;chest_press;42;12,621
REP-00132;H020;506,134;chest_fly-01;chest_fly;46;28,488
REP-00133;H020;716,459;cable-02;cable;43;18,49
REP-00134;H020;781,674;leg_press-01;leg_press;26;22,965
REP-00135;H021;126,19;seated_row-01;seated_row;15;20,846
REP-00136;H021;153,71;chest_fly-01;chest_fly;46;8,471
REP-00137;H021;253,573;cable-02;cable;43;18,202
REP-00138;H021;317,381;chest_fly-01;chest_fly;46;10,399
REP-00139;H021;786,985;leg_curl-01;leg_curl;31;18,371
REP-00140;H021;861,473;seated_row-02;seated_row;29;14,509
REP-00141;H022;534,784;lat_pulldown-02;lat_pulldown;22;23,45
REP-00142;H022;565,037;lat_pulldown-01;lat_pulldown;36;25,203
REP-00143;H022;740,882;leg_curl-02;leg_curl;24;51,852
REP-00144;H022;793,057;shoulder_press-01;shoulder_press;49;16,401
REP-00145;H022;871,966;cable-02;cable;43;9,865
REP-00146;H023;52,764;biceps_curl-01;biceps_curl;11;25,665
REP-00147;H023;274,375;biceps_curl-02;biceps_curl;33;16,374
REP-00148;H023;592,716;leg_curl-02;leg_curl;24;22,818
REP-00149;H023;874,473;shoulder_press-01;shoulder_press;49;13,579
REP-00150;H024;102,529;shoulder_press-02;shoulder_press;45;16,916
REP-00151;H024;227,347;chest_press-01;chest_press;42;44,158
REP-00152;H024;282,879;chest_press-02;chest_press;47;12,398
REP-00153;H024;312,953;lat_pulldown-02;lat_pulldown;22;21,195
REP-00154;H024;671,386;seated_row-01;seated_row;15;26,249
REP-00155;H025;51,359;seated_row-01;seated_row;15;20,013
REP-00156;H025;113,724;lat_pulldown-02;lat_pulldown;22;24,958
REP-00157;H025;135,414;cable-02;cable;43;24,361
REP-00158;H025;191,305;leg_extension-01;leg_extension;12;38,523
REP-00159;H025;484,821;leg_press-01;leg_press;26;17,104
REP-00160;H025;652,351;chest_press-02;chest_press;47;13,029
REP-00161;H026;52,024;treadmill-04;treadmill;35;46,673
REP-00162;H026;143,681;leg_extension-02;leg_extension;10;21,242
REP-00163;H026;668,317;leg_extension-01;leg_extension;12;41,977
REP-00164;H026;746,228;chest_press-02;chest_press;47;16,589
REP-00165;H026;815,821;treadmill-03;treadmill;28;35,741
REP-00166;H027;59,583;shoulder_press-02;shoulder_press;45;38,627
REP-00167;H027;63,671;chest_press-02;chest_press;47;20,228
REP-00168;H027;206,761;cable-02;cable;43;30,489
REP-00169;H027;298,476;lat_pulldown-02;registro_erroneo;22;23,103
REP-00170;H027;434,691;leg_curl-01;leg_curl;31;39,67
REP-00171;H027;461,263;biceps_curl-02;biceps_curl;33;33,905
REP-00172;H027;604,496;leg_curl-01;leg_curl;31;57,574
REP-00173;H027;655,963;shoulder_press-02;shoulder_press;45;33,13
REP-00174;H027;695,677;cable-01;cable;8;26,398
REP-00175;H028;300,789;treadmill-03;treadmill;28;43,992
REP-00176;H028;413,756;lat_pulldown-02;lat_pulldown;22;31,298
REP-00177;H028;463,512;lat_pulldown-02;lat_pulldown;22;29,068
REP-00178;H028;502,564;shoulder_press-01;shoulder_press;49;29,879
REP-00179;H028;554,854;lat_pulldown-01;lat_pulldown;36;19,85
REP-00180;H028;601,172;shoulder_press-01;shoulder_press;49;15,679
REP-00181;H028;899,952;biceps_curl-02;biceps_curl;33;46,841
REP-00182;H029;445,14;leg_extension-02;leg_extension;10;31,021
REP-00183;H029;478,625;seated_row-02;seated_row;29;14,703
REP-00184;H029;545,078;chest_press-01;chest_press;42;27,278
REP-00185;H029;571,144;leg_extension-01;leg_extension;12;18,395
REP-00186;H029;779,897;biceps_curl-02;biceps_curl;33;29,401
REP-00187;H029;812,714;chest_fly-01;chest_fly;46;36,227
REP-00188;H029;827,69;cable-02;cable;43;31,729
REP-00189;H031;331,712;leg_curl-01;leg_curl;31;40,167
REP-00190;H032;83,122;cable-02;cable;43;19,114
REP-00191;H032;83,893;biceps_curl-02;biceps_curl;33;19,097
REP-00192;H032;451,497;chest_press-02;chest_press;47;24,549
REP-00193;H033;189,267;leg_extension-01;leg_extension;12;10,671
REP-00194;H033;275,146;biceps_curl-02;biceps_curl;33;12,846
REP-00195;H033;297,614;seated_row-01;seated_row;15;31,279
REP-00196;H033;562,082;leg_curl-02;leg_curl;24;26,477
REP-00197;H033;735,659;leg_press-02;leg_press;32;35,067
REP-00198;H033;759,643;leg_press-01;leg_press;26;41,328
REP-00199;H034;58,525;shoulder_press-01;shoulder_press;49;20,819
REP-00200;H034;106,874;biceps_curl-01;biceps_curl;11;29,799
REP-00201;H034;145,052;cable-02;cable;43;13,157
REP-00202;H034;177,765;treadmill-02;treadmill;21;22,751
REP-00203;H034;325,388;leg_curl-02;leg_curl;24;26,358
REP-00204;H034;509,002;seated_row-01;seated_row;15;18,777
REP-00205;H034;553,053;treadmill-01;treadmill;14;36,49
REP-00206;H034;702,187;cable-01;cable;8;18,336
REP-00207;H034;720,392;shoulder_press-01;shoulder_press;49;11,908
REP-00208;H035;88,382;chest_press-01;chest_press;42;16,841
REP-00209;H035;250,841;leg_curl-01;leg_curl;31;41,631
REP-00210;H035;526,351;chest_press-01;chest_press;42;39,85
REP-00211;H035;683,054;seated_row-01;seated_row;15;16,564
REP-00212;H036;53,629;leg_press-02;leg_press;32;45,443
REP-00213;H036;259,907;seated_row-02;seated_row;29;6,879
REP-00214;H036;338,494;chest_press-01;chest_press;42;12,628
REP-00215;H036;513,037;biceps_curl-01;biceps_curl;11;28,113
REP-00216;H036;646,665;leg_curl-02;leg_curl;24;16,28
REP-00217;H036;735,589;chest_fly-01;chest_fly;46;15,673
REP-00218;H037;31,422;leg_extension-02;leg_extension;10;46,208
REP-00219;H037;275,921;lat_pulldown-02;lat_pulldown;22;20,335
REP-00220;H037;632,76;chest_press-02;chest_press;47;51,769
REP-00221;H037;686,899;lat_pulldown-01;lat_pulldown;36;19,551
REP-00222;H038;82,704;chest_fly-01;chest_fly;46;34,589
REP-00223;H038;313,609;seated_row-02;seated_row;29;31,653
REP-00224;H039;82,85;leg_press-02;leg_press;32;13,698
REP-00225;H039;274,404;cable-02;cable;43;24,172
REP-00226;H039;485,948;seated_row-01;seated_row;15;18,311
REP-00227;H039;500,597;leg_press-01;leg_press;26;30,243
REP-00228;H039;626,519;shoulder_press-01;shoulder_press;49;16,685
REP-00229;H039;702,773;leg_extension-02;leg_extension;10;20,435
REP-00230;H039;875,328;seated_row-02;seated_row;29;7,579
REP-00231;H040;278,436;leg_extension-01;leg_extension;12;33,419
REP-00232;H040;326,509;shoulder_press-02;shoulder_press;45;36,095
REP-00233;H040;399,898;seated_row-02;seated_row;29;21,185
REP-00234;H040;552,483;chest_press-01;chest_press;42;15,751
REP-00235;H041;281,38;lat_pulldown-02;lat_pulldown;22;12,719
REP-00236;H041;385,602;leg_press-02;leg_press;32;30,671
REP-00237;H041;631,001;biceps_curl-02;biceps_curl;33;33,201
REP-00238;H042;310,13;leg_press-01;leg_press;26;38,179
REP-00239;H042;327,092;leg_extension-01;leg_extension;12;37,781
REP-00240;H042;451,081;treadmill-01;treadmill;14;25,916
REP-00241;H042;797,504;leg_curl-02;leg_curl;24;36,881
REP-00242;H042;874,147;leg_curl-02;leg_curl;24;30,418
REP-00243;H043;51,454;lat_pulldown-01;lat_pulldown;36;18,362
REP-00244;H043;375,978;leg_curl-01;leg_curl;31;39,786
REP-00245;H043;809,766;leg_press-02;leg_press;32;36,263
REP-00246;H043;823,165;seated_row-02;seated_row;29;21,685
REP-00247;H044;371,59;shoulder_press-01;shoulder_press;49;12,232
REP-00248;H044;557,564;leg_curl-02;leg_curl;24;33,735
REP-00249;H044;730,036;shoulder_press-02;shoulder_press;45;16,735
REP-00250;H044;775,676;leg_curl-01;leg_curl;31;30,684
REP-00251;H044;779,235;leg_extension-01;leg_extension;12;36,773
REP-00252;H045;49,556;chest_press-02;chest_press;47;13,953
REP-00253;H045;356,261;leg_extension-02;leg_extension;10;37,329
REP-00254;H045;397,768;cable-02;cable;43;21,774
REP-00255;H045;514,144;chest_fly-01;chest_fly;46;11,86
REP-00256;H045;537,64;treadmill-03;treadmill;28;25,637
REP-00257;H045;590,055;leg_extension-01;leg_extension;12;26,274
REP-00258;H045;624,216;leg_press-02;leg_press;32;36,508
REP-00259;H045;833,193;biceps_curl-01;biceps_curl;11;16,979
REP-00260;H045;837,794;leg_press-02;leg_press;32;39,281
REP-00261;H046;263,354;chest_press-02;chest_press;47;35,794
REP-00262;H046;267,76;shoulder_press-01;shoulder_press;49;14,625
REP-00263;H046;302,418;seated_row-01;seated_row;15;25,003
REP-00264;H046;329,916;leg_extension-02;leg_extension;10;32,354
REP-00265;H046;702,12;leg_extension-02;leg_extension;10;35,148
REP-00266;H046;837,78;cable-01;cable;8;35,233
REP-00267;H047;148,309;chest_fly-01;chest_fly;46;10,815
REP-00268;H047;451,198;leg_curl-02;leg_curl;24;20,506
REP-00269;H047;536,689;lat_pulldown-02;lat_pulldown;22;25,932
REP-00270;H047;589,092;chest_press-02;chest_press;47;20,21
REP-00271;H047;621,137;shoulder_press-02;shoulder_press;45;13,395
REP-00272;H047;654,749;chest_press-02;chest_press;47;12,447
REP-00273;H048;19,285;lat_pulldown-02;lat_pulldown;22;31,752
REP-00274;H048;251,468;shoulder_press-01;shoulder_press;49;11,691
REP-00275;H048;639,46;cable-02;cable;43;15,404
REP-00276;H048;870,901;treadmill-02;treadmill;21;32,447
REP-00277;H049;14,904;cable-01;cable;8;37,348
REP-00278;H049;105,164;cable-01;cable;8;18,811
REP-00279;H049;256,167;leg_extension-01;leg_extension;12;20,829
REP-00280;H049;264,118;chest_press-01;chest_press;42;13,43
REP-00281;H049;281,656;chest_fly-01;chest_fly;46;14,585
REP-00282;H049;301,038;leg_extension-02;leg_extension;10;27,655
REP-00283;H049;305,803;seated_row-01;seated_row;15;29,632
REP-00284;H049;701,304;leg_extension-02;leg_extension;10;21,643
REP-00285;H049;796,254;chest_press-02;chest_press;47;12,706
REP-00286;H050;54,336;shoulder_press-02;shoulder_press;45;22,58
REP-00287;H050;91,517;leg_extension-01;leg_extension;12;30,786
REP-00288;H050;131,059;leg_curl-01;leg_curl;31;40,599
REP-00289;H050;256,5;treadmill-04;treadmill;35;33,68
REP-00290;H050;364,035;leg_press-02;leg_press;32;34,778
REP-00291;H050;522,139;leg_press-01;leg_press;26;19,935
REP-00292;H051;759,97;biceps_curl-02;biceps_curl;33;19,954
REP-00293;H052;452,563;cable-01;cable;8;7,231
REP-00294;H052;638,966;chest_press-02;chest_press;47;35,229
REP-00295;H052;849,387;leg_press-01;leg_press;26;17,56
REP-00296;H053;239,197;lat_pulldown-02;lat_pulldown;22;24,305
REP-00297;H053;347,786;shoulder_press-02;shoulder_press;45;28,078
REP-00298;H053;365,969;chest_press-02;chest_press;47;20,835
REP-00299;H053;461,501;chest_fly-01;chest_fly;46;8,39
REP-00300;H053;533,468;chest_fly-01;chest_fly;46;14,078
REP-00301;H053;636,269;lat_pulldown-02;lat_pulldown;22;11,647
REP-00302;H054;226,084;chest_fly-01;chest_fly;46;9,856
REP-00303;H054;358,657;seated_row-01;seated_row;15;31,12
REP-00304;H054;589,639;cable-01;cable;8;17,56
REP-00305;H055;22,791;leg_extension-01;leg_extension;12;24,31
REP-00306;H055;98,209;chest_fly-01;chest_fly;46;48,698
REP-00307;H055;411,745;lat_pulldown-02;lat_pulldown;22;22,143
REP-00308;H055;477,712;shoulder_press-02;shoulder_press;45;29,42
REP-00309;H055;580,568;leg_press-02;leg_press;32;25,381
REP-00310;H055;707,548;leg_extension-01;leg_extension;12;26,203
REP-00311;H055;763,274;chest_fly-01;chest_fly;46;17,406
REP-00312;H056;213,216;cable-01;cable;8;16,646
REP-00313;H056;269,527;chest_fly-01;chest_fly;46;33,52
REP-00314;H056;661,585;leg_extension-02;leg_extension;10;23,889
REP-00315;H056;749,676;shoulder_press-02;shoulder_press;45;8,226
REP-00316;H056;771,311;shoulder_press-01;shoulder_press;49;8,726
REP-00317;H056;803,5;biceps_curl-01;biceps_curl;11;15,137
REP-00318;H056;836,726;leg_curl-02;leg_curl;24;43,056
REP-00319;H056;845,482;shoulder_press-01;shoulder_press;49;37,534
REP-00320;H057;184,951;lat_pulldown-01;lat_pulldown;36;19,819
REP-00321;H057;227,711;leg_curl-02;leg_curl;24;36,899
REP-00322;H057;285,103;treadmill-03;treadmill;28;32,261
REP-00323;H057;311,38;biceps_curl-01;biceps_curl;11;15,649
REP-00324;H057;425,413;leg_extension-01;leg_extension;12;27,993
REP-00325;H057;628,84;leg_curl-02;leg_curl;24;16,571
REP-00326;H057;710,937;leg_curl-01;leg_curl;31;44,773
REP-00327;H058;334,688;lat_pulldown-01;lat_pulldown;36;34,474
REP-00328;H058;547,636;seated_row-02;seated_row;29;28,752
REP-00329;H058;592,86;cable-02;cable;43;16,709
REP-00330;H058;610,655;leg_extension-01;leg_extension;12;31,056
REP-00331;H058;688,342;leg_press-02;leg_press;32;26,745
REP-00332;H059;40,932;lat_pulldown-02;lat_pulldown;22;19,275
REP-00333;H059;105,534;chest_press-01;chest_press;42;16,759
REP-00334;H059;183,593;chest_fly-01;chest_fly;46;30,536
REP-00335;H059;793,621;leg_extension-02;leg_extension;10;18,67
REP-00336;H059;800,254;leg_press-01;leg_press;26;28,52
REP-00337;H061;284,461;leg_extension-01;leg_extension;12;16,667
REP-00338;H061;319,462;seated_row-01;seated_row;15;32,056
REP-00339;H061;348,885;biceps_curl-01;biceps_curl;11;26,777
REP-00340;H061;413,263;biceps_curl-01;biceps_curl;11;20,984
REP-00341;H061;627,84;chest_press-01;chest_press;42;22,704
REP-00342;H061;830,247;biceps_curl-02;biceps_curl;33;24,142
REP-00343;H062;33,962;leg_extension-01;leg_extension;12;37,418
REP-00344;H062;137,713;seated_row-01;seated_row;15;35,674
REP-00345;H062;309,834;chest_press-01;chest_press;42;9,54
REP-00346;H062;358,761;leg_extension-01;leg_extension;12;28,444
REP-00347;H062;648,449;lat_pulldown-02;lat_pulldown;22;10,61
REP-00348;H062;722,552;chest_fly-01;chest_fly;46;8,642
REP-00349;H062;777,462;chest_fly-01;chest_fly;46;23,848
REP-00350;H063;33,859;lat_pulldown-01;lat_pulldown;36;21,029
REP-00351;H063;135,785;leg_extension-02;leg_extension;10;29,682
REP-00352;H063;250,531;treadmill-04;treadmill;35;50,0
REP-00353;H063;285,703;cable-01;cable;8;18,419
REP-00354;H063;373,463;shoulder_press-02;shoulder_press;45;22,044
REP-00355;H064;96,384;lat_pulldown-01;lat_pulldown;36;18,274
REP-00356;H064;117,475;chest_press-01;chest_press;42;34,031
REP-00357;H064;216,361;shoulder_press-01;shoulder_press;49;12,37
REP-00358;H064;279,778;shoulder_press-02;shoulder_press;45;13,187
REP-00359;H064;362,08;leg_press-01;leg_press;26;26,559
REP-00360;H064;436,313;biceps_curl-02;biceps_curl;33;17,312
REP-00361;H064;678,405;shoulder_press-01;shoulder_press;49;38,959
REP-00362;H064;706,042;leg_extension-01;leg_extension;12;34,822
REP-00363;H064;850,507;chest_press-01;chest_press;42;28,801
REP-00364;H064;877,674;treadmill-02;treadmill;21;31,278
REP-00365;H065;248,403;leg_curl-02;leg_curl;24;38,282
REP-00366;H065;475,015;chest_fly-01;chest_fly;46;11,428
REP-00367;H065;641,018;shoulder_press-02;shoulder_press;45;32,328
REP-00368;H065;724,07;shoulder_press-02;shoulder_press;45;6,379
REP-00369;H066;246,998;leg_press-02;leg_press;32;26,232
REP-00370;H066;369,509;leg_extension-01;leg_extension;12;42,284
REP-00371;H066;378,15;shoulder_press-01;shoulder_press;49;45,226
REP-00372;H066;493,058;seated_row-01;seated_row;15;14,506
REP-00373;H066;663,868;leg_curl-02;leg_curl;24;53,863
REP-00374;H066;701,182;chest_press-01;chest_press;42;16,422
REP-00375;H066;777,186;biceps_curl-01;biceps_curl;11;17,936
REP-00376;H067;97,513;chest_fly-01;chest_fly;46;16,899
REP-00377;H067;401,391;chest_fly-01;chest_fly;46;16,83
REP-00378;H067;467,525;treadmill-02;treadmill;21;50,0
REP-00379;H067;645,909;leg_press-02;leg_press;32;26,747
REP-00380;H067;720,264;leg_extension-02;leg_extension;10;37,664
REP-00381;H067;746,753;leg_extension-01;leg_extension;12;37,486
REP-00382;H068;391,139;seated_row-01;seated_row;15;29,71
REP-00383;H068;707,22;cable-02;cable;43;21,813
REP-00384;H068;720,553;leg_curl-02;leg_curl;24;39,623
REP-00385;H068;823,769;shoulder_press-01;shoulder_press;49;7,282
REP-00386;H069;153,98;biceps_curl-01;biceps_curl;11;36,829
REP-00387;H069;187,739;seated_row-01;seated_row;15;14,125
REP-00388;H069;393,596;seated_row-01;seated_row;15;28,221
REP-00389;H069;575,649;leg_curl-02;leg_curl;24;16,918
REP-00390;H069;782,233;leg_press-02;leg_press;32;45,947
REP-00391;H069;860,535;shoulder_press-02;shoulder_press;45;18,15
REP-00392;H070;310,733;chest_press-01;chest_press;42;10,626
REP-00393;H070;449,327;shoulder_press-02;shoulder_press;45;20,042
REP-00394;H070;580,526;biceps_curl-01;biceps_curl;11;48,0
REP-00395;H070;639,472;lat_pulldown-02;lat_pulldown;22;22,438
REP-00396;H070;648,906;cable-02;cable;43;37,614
REP-00397;H071;45,016;lat_pulldown-01;lat_pulldown;36;29,758
REP-00398;H071;564,378;leg_extension-01;leg_extension;12;23,468
REP-00399;H071;616,885;cable-02;cable;43;20,255
REP-00400;H072;31,702;shoulder_press-01;shoulder_press;49;10,121
REP-00401;H072;58,181;cable-02;cable;43;27,628
REP-00402;H072;59,406;chest_press-01;chest_press;42;17,507
REP-00403;H072;91,852;cable-01;cable;8;26,521
REP-00404;H072;244,919;seated_row-01;seated_row;15;20,618
REP-00405;H072;428,602;seated_row-02;seated_row;29;13,103
REP-00406;H072;446,652;chest_fly-01;chest_fly;46;39,6
REP-00407;H073;217,66;leg_extension-01;leg_extension;12;28,28
REP-00408;H073;380,661;leg_press-01;leg_press;26;20,179
REP-00409;H073;699,202;shoulder_press-02;shoulder_press;45;39,241
REP-00410;H073;719,101;chest_press-01;chest_press;42;36,008
REP-00411;H073;766,333;leg_press-01;leg_press;26;25,024
REP-00412;H074;96,523;biceps_curl-02;biceps_curl;33;7,431
REP-00413;H074;262,677;shoulder_press-01;shoulder_press;49;16,289
REP-00414;H074;274,972;chest_fly-01;chest_fly;46;37,999
REP-00415;H074;467,242;seated_row-01;seated_row;15;30,981
REP-00416;H074;642,027;cable-01;cable;8;20,091
REP-00417;H074;693,885;chest_press-01;chest_press;42;14,015
REP-00418;H074;794,928;treadmill-03;treadmill;28;32,672
REP-00419;H074;831,434;leg_extension-02;leg_extension;10;21,82
REP-00420;H075;188,685;treadmill-01;treadmill;14;50,0
REP-00421;H075;206,076;biceps_curl-01;biceps_curl;11;34,799
REP-00422;H075;257,365;cable-02;cable;43;12,983
REP-00423;H076;365,336;chest_press-01;chest_press;42;23,545
REP-00424;H076;480,594;shoulder_press-01;shoulder_press;49;14,47
REP-00425;H077;138,385;leg_curl-01;leg_curl;31;32,842
